"","cenario","iteracao","ET","acuracia","iteracao","ET","acuracia","cenario","iteracao","ET","acuracia","iteracao","ET","acuracia"
"1","TRE 1",0,0.356622164863949,0.455696202531646,10000,0.0612606958545711,0.291139240506329,"VAL 1",0,0.306739877536675,0.428571428571429,10000,0.0482291395029473,0.214285714285714
"20003","TRE 2",0,0.490488323693751,0.448717948717949,10000,0.0474745584090635,0.602564102564103,"VAL 2",0,0.425438621813432,0.439024390243902,10000,0.0602361934343919,0.365853658536585
"40005","TRE 3",0,0.56988590917134,0.441558441558442,10000,0.0361900851252517,0.571428571428571,"VAL 3",0,0.493528101607123,0.425,10000,0.0529491993843378,0.5
"60007","TRE 4",0,0.436822912498265,0.448717948717949,10000,0.0172950461164943,0.807692307692308,"VAL 4",0,0.421919221413203,0.439024390243902,10000,0.0572142255592559,0.560975609756098
"80009","TRE 5",0,0.44910945261723,0.448717948717949,10000,0.0211204948368767,0.743589743589744,"VAL 5",0,0.411285273063607,0.439024390243902,10000,0.144738736324292,0.560975609756098
"100011","TRE 6",0,0.433074503433848,0.435897435897436,10000,0.0263696307106114,0.628205128205128,"VAL 6",0,0.427327647838077,0.439024390243902,10000,0.122549899205086,0.463414634146341
"120013","TRE 7",0,0.438923552006176,0.435897435897436,10000,0.0212919515502417,0.730769230769231,"VAL 7",0,0.415170941535663,0.439024390243902,10000,0.177665522598413,0.365853658536585
"140015","TRE 8",0,0.486867518540015,0.474358974358974,10000,8.59132643717723e-20,1,"VAL 8",0,0.423668888352836,0.439024390243902,10000,0.148789292026599,0.414634146341463
"160017","TRE 9",0,0.429784589483208,0.468354430379747,10000,0.119140956833176,0.468354430379747,"VAL 9",0,0.332049146168846,0.5,10000,0.074436147242501,0.452380952380952
"180019","TRE 10",0,0.568565283094429,0.461538461538462,10000,0.115295405725142,0.423076923076923,"VAL 10",0,0.460401165366142,0.48780487804878,10000,0.0793451456543484,0.341463414634146
"200021","TRE 11",0,0.652132390946052,0.454545454545455,10000,0.102791551855631,0.441558441558442,"VAL 11",0,0.532620910080422,0.475,10000,0.0824434978844694,0.4
"220023","TRE 12",0,0.51579377551783,0.461538461538462,10000,0.0328546910917886,0.794871794871795,"VAL 12",0,0.462515367723959,0.48780487804878,10000,0.182294619434272,0.390243902439024
"240025","TRE 13",0,0.537754743162826,0.461538461538462,10000,0.0389746148530409,0.807692307692308,"VAL 13",0,0.451488939814587,0.48780487804878,10000,0.236437334416059,0.390243902439024
"260027","TRE 14",0,0.517383205974059,0.448717948717949,10000,0.0420344955020646,0.769230769230769,"VAL 14",0,0.466070755089067,0.48780487804878,10000,0.181845081576114,0.463414634146341
"280029","TRE 15",0,0.522712728358616,0.448717948717949,10000,0.0404867501885097,0.730769230769231,"VAL 15",0,0.454749133748141,0.48780487804878,10000,0.210274329070974,0.390243902439024
"300031","TRE 16",0,0.720768684490705,0.333333333333333,10000,0.134194750312041,0.692307692307692,"VAL 16",0,0.51804754788056,0.439024390243902,10000,0.142556551814555,0.536585365853659
"320033","TRE 17",0,0.656182839101576,0.333333333333333,10000,0.0397839075787612,0.846153846153846,"VAL 17",0,0.529286408549353,0.439024390243902,10000,0.424896744726451,0.463414634146341
"340035","TRE 18",0,0.674052556469706,0.333333333333333,10000,0.0645814747782342,0.692307692307692,"VAL 18",0,0.528426139832864,0.439024390243902,10000,0.169768888522575,0.51219512195122
"360037","TRE 19",0,0.65196797526328,0.346153846153846,10000,0.0354281141578229,0.846153846153846,"VAL 19",0,0.544532123095511,0.439024390243902,10000,0.222793786144921,0.51219512195122
"380039","TRE 20",0,0.666205610438997,0.320512820512821,10000,0.0479820428826961,0.846153846153846,"VAL 20",0,0.532199010751436,0.439024390243902,10000,0.436810772437911,0.365853658536585
"400041","TRE 21",0,1.17784927171579,0.230769230769231,10000,0.222305575752069,0.551282051282051,"VAL 21",0,0.597993153137142,0.384615384615385,10000,0.32918099474682,0.461538461538462
"420043","TRE 22",0,1.08569426251088,0.230769230769231,10000,0.0382837319867238,0.923076923076923,"VAL 22",0,0.598016271617093,0.384615384615385,10000,0.670841547711856,0.346153846153846
"440045","TRE 23",0,1.11330826784571,0.230769230769231,10000,0.0568896770078364,0.923076923076923,"VAL 23",0,0.589347127677695,0.384615384615385,10000,0.361972242900374,0.615384615384615
"460047","TRE 24",0,1.10341800901971,0.217948717948718,10000,0.107996991095163,0.858974358974359,"VAL 24",0,0.60379708878624,0.384615384615385,10000,0.361433066877498,0.653846153846154
"480049","TRE 25",0,1.11503080819243,0.217948717948718,10000,0.0881597035465742,0.91025641025641,"VAL 25",0,0.589159226327233,0.384615384615385,10000,0.494655843961052,0.538461538461538
