"","hora","cenario","iteracao","ET","acuracia"
"1",2016-07-19 15:56:24,"TRE 1",0,0.356622164863949,0.455696202531646
"2",2016-07-19 15:56:24,"VAL 1",0,0.306739877536675,0.428571428571429
"20003",2016-07-19 16:04:02,"TRE 2",0,0.490488323693751,0.448717948717949
"20004",2016-07-19 16:04:02,"VAL 2",0,0.425438621813432,0.439024390243902
"40005",2016-07-19 16:15:09,"TRE 3",0,0.56988590917134,0.441558441558442
"40006",2016-07-19 16:15:09,"VAL 3",0,0.493528101607123,0.425
"60007",2016-07-19 16:31:15,"TRE 4",0,0.436822912498265,0.448717948717949
"60008",2016-07-19 16:31:15,"VAL 4",0,0.421919221413203,0.439024390243902
"80009",2016-07-19 17:02:34,"TRE 5",0,0.44910945261723,0.448717948717949
"80010",2016-07-19 17:02:34,"VAL 5",0,0.411285273063607,0.439024390243902
"100011",2016-07-19 17:31:46,"TRE 6",0,0.433074503433848,0.435897435897436
"100012",2016-07-19 17:31:46,"VAL 6",0,0.427327647838077,0.439024390243902
"120013",2016-07-19 18:04:42,"TRE 7",0,0.438923552006176,0.435897435897436
"120014",2016-07-19 18:04:42,"VAL 7",0,0.415170941535663,0.439024390243902
"140015",2016-07-19 18:36:04,"TRE 8",0,0.486867518540015,0.474358974358974
"140016",2016-07-19 18:36:05,"VAL 8",0,0.423668888352836,0.439024390243902
"160017",2016-07-19 20:22:46,"TRE 9",0,0.429784589483208,0.468354430379747
"160018",2016-07-19 20:22:46,"VAL 9",0,0.332049146168846,0.5
"180019",2016-07-19 20:38:54,"TRE 10",0,0.568565283094429,0.461538461538462
"180020",2016-07-19 20:38:54,"VAL 10",0,0.460401165366142,0.48780487804878
"200021",2016-07-19 20:58:55,"TRE 11",0,0.652132390946052,0.454545454545455
"200022",2016-07-19 20:58:55,"VAL 11",0,0.532620910080422,0.475
"220023",2016-07-19 21:22:38,"TRE 12",0,0.51579377551783,0.461538461538462
"220024",2016-07-19 21:22:38,"VAL 12",0,0.462515367723959,0.48780487804878
"240025",2016-07-19 22:01:30,"TRE 13",0,0.537754743162826,0.461538461538462
"240026",2016-07-19 22:01:30,"VAL 13",0,0.451488939814587,0.48780487804878
"260027",2016-07-19 22:41:18,"TRE 14",0,0.517383205974059,0.448717948717949
"260028",2016-07-19 22:41:19,"VAL 14",0,0.466070755089067,0.48780487804878
"280029",2016-07-19 23:19:54,"TRE 15",0,0.522712728358616,0.448717948717949
"280030",2016-07-19 23:19:54,"VAL 15",0,0.454749133748141,0.48780487804878
"300031",2016-07-19 23:56:34,"TRE 16",0,0.720768684490705,0.333333333333333
"300032",2016-07-19 23:56:34,"VAL 16",0,0.51804754788056,0.439024390243902
"320033",2016-07-20 00:19:59,"TRE 17",0,0.656182839101576,0.333333333333333
"320034",2016-07-20 00:19:59,"VAL 17",0,0.529286408549353,0.439024390243902
"340035",2016-07-20 01:04:16,"TRE 18",0,0.674052556469706,0.333333333333333
"340036",2016-07-20 01:04:16,"VAL 18",0,0.528426139832864,0.439024390243902
"360037",2016-07-20 01:51:13,"TRE 19",0,0.65196797526328,0.346153846153846
"360038",2016-07-20 01:51:13,"VAL 19",0,0.544532123095511,0.439024390243902
"380039",2016-07-20 02:32:38,"TRE 20",0,0.666205610438997,0.320512820512821
"380040",2016-07-20 02:32:38,"VAL 20",0,0.532199010751436,0.439024390243902
"400041",2016-07-20 03:12:28,"TRE 21",0,1.17784927171579,0.230769230769231
"400042",2016-07-20 03:12:28,"VAL 21",0,0.597993153137142,0.384615384615385
"420043",2016-07-20 03:39:02,"TRE 22",0,1.08569426251088,0.230769230769231
"420044",2016-07-20 03:39:02,"VAL 22",0,0.598016271617093,0.384615384615385
"440045",2016-07-20 04:27:23,"TRE 23",0,1.11330826784571,0.230769230769231
"440046",2016-07-20 04:27:23,"VAL 23",0,0.589347127677695,0.384615384615385
"460047",2016-07-20 05:16:29,"TRE 24",0,1.10341800901971,0.217948717948718
"460048",2016-07-20 05:16:29,"VAL 24",0,0.60379708878624,0.384615384615385
"480049",2016-07-20 06:06:06,"TRE 25",0,1.11503080819243,0.217948717948718
"480050",2016-07-20 06:06:06,"VAL 25",0,0.589159226327233,0.384615384615385
"20001",2016-07-19 16:04:02,"TRE 1",10000,0.0612606958545711,0.291139240506329
"20002",2016-07-19 16:04:02,"VAL 1",10000,0.0482291395029473,0.214285714285714
"40003",2016-07-19 16:15:09,"TRE 2",10000,0.0474745584090635,0.602564102564103
"40004",2016-07-19 16:15:09,"VAL 2",10000,0.0602361934343919,0.365853658536585
"60005",2016-07-19 16:31:15,"TRE 3",10000,0.0361900851252517,0.571428571428571
"60006",2016-07-19 16:31:15,"VAL 3",10000,0.0529491993843378,0.5
"80007",2016-07-19 17:02:33,"TRE 4",10000,0.0172950461164943,0.807692307692308
"80008",2016-07-19 17:02:33,"VAL 4",10000,0.0572142255592559,0.560975609756098
"100009",2016-07-19 17:31:46,"TRE 5",10000,0.0211204948368767,0.743589743589744
"100010",2016-07-19 17:31:46,"VAL 5",10000,0.144738736324292,0.560975609756098
"120011",2016-07-19 18:04:42,"TRE 6",10000,0.0263696307106114,0.628205128205128
"120012",2016-07-19 18:04:42,"VAL 6",10000,0.122549899205086,0.463414634146341
"140013",2016-07-19 18:36:04,"TRE 7",10000,0.0212919515502417,0.730769230769231
"140014",2016-07-19 18:36:04,"VAL 7",10000,0.177665522598413,0.365853658536585
"160015",2016-07-19 20:22:46,"TRE 8",10000,8.59132643717723e-20,1
"160016",2016-07-19 20:22:46,"VAL 8",10000,0.148789292026599,0.414634146341463
"180017",2016-07-19 20:38:54,"TRE 9",10000,0.119140956833176,0.468354430379747
"180018",2016-07-19 20:38:54,"VAL 9",10000,0.074436147242501,0.452380952380952
"200019",2016-07-19 20:58:55,"TRE 10",10000,0.115295405725142,0.423076923076923
"200020",2016-07-19 20:58:55,"VAL 10",10000,0.0793451456543484,0.341463414634146
"220021",2016-07-19 21:22:37,"TRE 11",10000,0.102791551855631,0.441558441558442
"220022",2016-07-19 21:22:37,"VAL 11",10000,0.0824434978844694,0.4
"240023",2016-07-19 22:01:30,"TRE 12",10000,0.0328546910917886,0.794871794871795
"240024",2016-07-19 22:01:30,"VAL 12",10000,0.182294619434272,0.390243902439024
"260025",2016-07-19 22:41:18,"TRE 13",10000,0.0389746148530409,0.807692307692308
"260026",2016-07-19 22:41:18,"VAL 13",10000,0.236437334416059,0.390243902439024
"280027",2016-07-19 23:19:54,"TRE 14",10000,0.0420344955020646,0.769230769230769
"280028",2016-07-19 23:19:54,"VAL 14",10000,0.181845081576114,0.463414634146341
"300029",2016-07-19 23:56:34,"TRE 15",10000,0.0404867501885097,0.730769230769231
"300030",2016-07-19 23:56:34,"VAL 15",10000,0.210274329070974,0.390243902439024
"320031",2016-07-20 00:19:59,"TRE 16",10000,0.134194750312041,0.692307692307692
"320032",2016-07-20 00:19:59,"VAL 16",10000,0.142556551814555,0.536585365853659
"340033",2016-07-20 01:04:16,"TRE 17",10000,0.0397839075787612,0.846153846153846
"340034",2016-07-20 01:04:16,"VAL 17",10000,0.424896744726451,0.463414634146341
"360035",2016-07-20 01:51:12,"TRE 18",10000,0.0645814747782342,0.692307692307692
"360036",2016-07-20 01:51:13,"VAL 18",10000,0.169768888522575,0.51219512195122
"380037",2016-07-20 02:32:37,"TRE 19",10000,0.0354281141578229,0.846153846153846
"380038",2016-07-20 02:32:37,"VAL 19",10000,0.222793786144921,0.51219512195122
"400039",2016-07-20 03:12:27,"TRE 20",10000,0.0479820428826961,0.846153846153846
"400040",2016-07-20 03:12:27,"VAL 20",10000,0.436810772437911,0.365853658536585
"420041",2016-07-20 03:39:02,"TRE 21",10000,0.222305575752069,0.551282051282051
"420042",2016-07-20 03:39:02,"VAL 21",10000,0.32918099474682,0.461538461538462
"440043",2016-07-20 04:27:23,"TRE 22",10000,0.0382837319867238,0.923076923076923
"440044",2016-07-20 04:27:23,"VAL 22",10000,0.670841547711856,0.346153846153846
"460045",2016-07-20 05:16:28,"TRE 23",10000,0.0568896770078364,0.923076923076923
"460046",2016-07-20 05:16:28,"VAL 23",10000,0.361972242900374,0.615384615384615
"480047",2016-07-20 06:06:06,"TRE 24",10000,0.107996991095163,0.858974358974359
"480048",2016-07-20 06:06:06,"VAL 24",10000,0.361433066877498,0.653846153846154
"500049",2016-07-20 06:47:30,"TRE 25",10000,0.0881597035465742,0.91025641025641
"500050",2016-07-20 06:47:30,"VAL 25",10000,0.494655843961052,0.538461538461538
