"","cenario","iteracao","ET","acuracia","iteracao","ET","acuracia","cenario","iteracao","ET","acuracia","iteracao","ET","acuracia"
"1","TRE 1",0,0.554005009100099,0.455696202531646,10000,0.0527205856805148,0.493670886075949,"VAL 1",0,0.481009556486591,0.428571428571429,10000,0.0428165069162625,0.476190476190476
"20003","TRE 2",0,0.518003024963511,0.448717948717949,10000,0.0549336559250549,0.5,"VAL 2",0,0.454203813659014,0.439024390243902,10000,0.0955513266512007,0.48780487804878
"40005","TRE 3",0,0.405060266094817,0.454545454545455,10000,0.0363063240362562,0.623376623376623,"VAL 3",0,0.319464837601088,0.425,10000,0.128939188343158,0.4
"60007","TRE 4",0,0.372966104473971,0.423076923076923,10000,0.0241529828140308,0.67948717948718,"VAL 4",0,0.345888058592055,0.414634146341463,10000,0.146114979651754,0.341463414634146
"80009","TRE 5",0,0.572193245784803,0.448717948717949,10000,0.0255969046526059,0.756410256410256,"VAL 5",0,0.504244718992861,0.439024390243902,10000,0.187870619104158,0.292682926829268
"100011","TRE 6",0,0.575095093112042,0.448717948717949,10000,0.027716301448125,0.769230769230769,"VAL 6",0,0.507809959902172,0.439024390243902,10000,0.197484361023855,0.414634146341463
"120013","TRE 7",0,0.581394653418276,0.448717948717949,10000,0.0234344675662626,0.756410256410256,"VAL 7",0,0.507039394325721,0.439024390243902,10000,0.193648351456034,0.463414634146341
"140015","TRE 8",0,0.453768136658364,0.423076923076923,10000,0.00141558352398646,0.871794871794872,"VAL 8",0,0.412969471848469,0.414634146341463,10000,0.139405852732682,0.439024390243902
"160017","TRE 9",0,0.631825433807983,0.468354430379747,10000,0.103979245705405,0.531645569620253,"VAL 9",0,0.513386220956062,0.5,10000,0.0839388759178773,0.357142857142857
"180019","TRE 10",0,0.596889137286035,0.461538461538462,10000,0.0838602219349423,0.602564102564103,"VAL 10",0,0.493934499409455,0.48780487804878,10000,0.104372556843169,0.341463414634146
"200021","TRE 11",0,0.493385431211551,0.467532467532468,10000,0.0450835552289496,0.805194805194805,"VAL 11",0,0.350337792706018,0.475,10000,0.145047223309702,0.55
"220023","TRE 12",0,0.456638044262747,0.461538461538462,10000,0.018325327580481,0.833333333333333,"VAL 12",0,0.389235357174233,0.51219512195122,10000,0.316564796785301,0.414634146341463
"240025","TRE 13",0,0.6544307418339,0.461538461538462,10000,0.0275061080325877,0.756410256410256,"VAL 13",0,0.543862771214134,0.48780487804878,10000,0.258882346618389,0.439024390243902
"260027","TRE 14",0,0.656917214498585,0.461538461538462,10000,0.0502574250611168,0.756410256410256,"VAL 14",0,0.546613499955318,0.48780487804878,10000,0.176281577554024,0.439024390243902
"280029","TRE 15",0,0.662522113655266,0.461538461538462,10000,0.0254424633571404,0.82051282051282,"VAL 15",0,0.545862193781678,0.48780487804878,10000,0.316222349714496,0.292682926829268
"300031","TRE 16",0,0.751572249526792,0.333333333333333,10000,0.0486643666392381,0.82051282051282,"VAL 16",0,0.557660409491207,0.439024390243902,10000,0.227332447038056,0.585365853658537
"320033","TRE 17",0,0.584296864506025,0.333333333333333,10000,0.0107019389615832,0.858974358974359,"VAL 17",0,0.469690315749659,0.414634146341463,10000,0.379512403104605,0.51219512195122
"340035","TRE 18",0,0.815148195773005,0.333333333333333,10000,0.0187424698640003,0.91025641025641,"VAL 18",0,0.60671970944508,0.439024390243902,10000,0.345898784770743,0.365853658536585
"360037","TRE 19",0,0.817550429126623,0.333333333333333,10000,0.0132590569583106,0.91025641025641,"VAL 19",0,0.610915794814455,0.439024390243902,10000,0.347953910620222,0.536585365853659
"380039","TRE 20",0,0.824165792859051,0.333333333333333,10000,0.011754564186957,0.91025641025641,"VAL 20",0,0.608693604756432,0.439024390243902,10000,0.518640129637497,0.48780487804878
"400041","TRE 21",0,1.21948081151918,0.230769230769231,10000,0.0116944077987357,0.974358974358974,"VAL 21",0,0.617585920585589,0.384615384615385,10000,0.436126039690987,0.384615384615385
"420043","TRE 22",0,0.989536885016833,0.205128205128205,10000,0.00733717196947816,0.987179487179487,"VAL 22",0,0.48503583696109,0.384615384615385,10000,0.473124954405158,0.384615384615385
"440045","TRE 23",0,1.30023963826628,0.230769230769231,10000,0.00273362836687263,0.987179487179487,"VAL 23",0,0.666114187869361,0.384615384615385,10000,0.65023383904061,0.346153846153846
"460047","TRE 24",0,1.30551438134637,0.230769230769231,10000,0.00804944173045256,0.961538461538462,"VAL 24",0,0.669917136222077,0.384615384615385,10000,0.330644970064632,0.576923076923077
"480049","TRE 25",0,1.3145862634328,0.230769230769231,10000,0.00849648426468731,0.974358974358974,"VAL 25",0,0.66829600908077,0.384615384615385,10000,0.430308923179967,0.615384615384615
