"","hora","cenario","iteracao","ET","acuracia"
"1",2016-07-20 11:18:53,"TRE 1",0,0.554005009100099,0.455696202531646
"2",2016-07-20 11:18:53,"VAL 1",0,0.481009556486591,0.428571428571429
"20003",2016-07-20 11:36:50,"TRE 2",0,0.518003024963511,0.448717948717949
"20004",2016-07-20 11:36:50,"VAL 2",0,0.454203813659014,0.439024390243902
"40005",2016-07-20 11:59:17,"TRE 3",0,0.405060266094817,0.454545454545455
"40006",2016-07-20 11:59:17,"VAL 3",0,0.319464837601088,0.425
"60007",2016-07-20 12:27:43,"TRE 4",0,0.372966104473971,0.423076923076923
"60008",2016-07-20 12:27:43,"VAL 4",0,0.345888058592055,0.414634146341463
"80009",2016-07-20 13:10:58,"TRE 5",0,0.572193245784803,0.448717948717949
"80010",2016-07-20 13:10:58,"VAL 5",0,0.504244718992861,0.439024390243902
"100011",2016-07-20 14:00:39,"TRE 6",0,0.575095093112042,0.448717948717949
"100012",2016-07-20 14:00:39,"VAL 6",0,0.507809959902172,0.439024390243902
"120013",2016-07-20 14:52:59,"TRE 7",0,0.581394653418276,0.448717948717949
"120014",2016-07-20 14:52:59,"VAL 7",0,0.507039394325721,0.439024390243902
"140015",2016-07-20 15:34:11,"TRE 8",0,0.453768136658364,0.423076923076923
"140016",2016-07-20 15:34:11,"VAL 8",0,0.412969471848469,0.414634146341463
"160017",2016-07-20 17:33:58,"TRE 9",0,0.631825433807983,0.468354430379747
"160018",2016-07-20 17:33:58,"VAL 9",0,0.513386220956062,0.5
"180019",2016-07-20 17:53:49,"TRE 10",0,0.596889137286035,0.461538461538462
"180020",2016-07-20 17:53:49,"VAL 10",0,0.493934499409455,0.48780487804878
"200021",2016-07-20 18:19:31,"TRE 11",0,0.493385431211551,0.467532467532468
"200022",2016-07-20 18:19:31,"VAL 11",0,0.350337792706018,0.475
"220023",2016-07-20 18:51:50,"TRE 12",0,0.456638044262747,0.461538461538462
"220024",2016-07-20 18:51:50,"VAL 12",0,0.389235357174233,0.51219512195122
"240025",2016-07-20 19:39:54,"TRE 13",0,0.6544307418339,0.461538461538462
"240026",2016-07-20 19:39:54,"VAL 13",0,0.543862771214134,0.48780487804878
"260027",2016-07-20 20:25:58,"TRE 14",0,0.656917214498585,0.461538461538462
"260028",2016-07-20 20:25:58,"VAL 14",0,0.546613499955318,0.48780487804878
"280029",2016-07-20 21:13:00,"TRE 15",0,0.662522113655266,0.461538461538462
"280030",2016-07-20 21:13:00,"VAL 15",0,0.545862193781678,0.48780487804878
"300031",2016-07-20 22:01:07,"TRE 16",0,0.751572249526792,0.333333333333333
"300032",2016-07-20 22:01:07,"VAL 16",0,0.557660409491207,0.439024390243902
"320033",2016-07-20 22:33:12,"TRE 17",0,0.584296864506025,0.333333333333333
"320034",2016-07-20 22:33:12,"VAL 17",0,0.469690315749659,0.414634146341463
"340035",2016-07-20 23:28:37,"TRE 18",0,0.815148195773005,0.333333333333333
"340036",2016-07-20 23:28:37,"VAL 18",0,0.60671970944508,0.439024390243902
"360037",2016-07-21 00:21:48,"TRE 19",0,0.817550429126623,0.333333333333333
"360038",2016-07-21 00:21:48,"VAL 19",0,0.610915794814455,0.439024390243902
"380039",2016-07-21 01:15:43,"TRE 20",0,0.824165792859051,0.333333333333333
"380040",2016-07-21 01:15:43,"VAL 20",0,0.608693604756432,0.439024390243902
"400041",2016-07-21 02:12:29,"TRE 21",0,1.21948081151918,0.230769230769231
"400042",2016-07-21 02:12:29,"VAL 21",0,0.617585920585589,0.384615384615385
"420043",2016-07-21 02:53:09,"TRE 22",0,0.989536885016833,0.205128205128205
"420044",2016-07-21 02:53:09,"VAL 22",0,0.48503583696109,0.384615384615385
"440045",2016-07-21 03:57:58,"TRE 23",0,1.30023963826628,0.230769230769231
"440046",2016-07-21 03:57:58,"VAL 23",0,0.666114187869361,0.384615384615385
"460047",2016-07-21 04:58:39,"TRE 24",0,1.30551438134637,0.230769230769231
"460048",2016-07-21 04:58:39,"VAL 24",0,0.669917136222077,0.384615384615385
"480049",2016-07-21 05:53:02,"TRE 25",0,1.3145862634328,0.230769230769231
"480050",2016-07-21 05:53:02,"VAL 25",0,0.66829600908077,0.384615384615385
"20001",2016-07-20 11:36:50,"TRE 1",10000,0.0527205856805148,0.493670886075949
"20002",2016-07-20 11:36:50,"VAL 1",10000,0.0428165069162625,0.476190476190476
"40003",2016-07-20 11:59:17,"TRE 2",10000,0.0549336559250549,0.5
"40004",2016-07-20 11:59:17,"VAL 2",10000,0.0955513266512007,0.48780487804878
"60005",2016-07-20 12:27:42,"TRE 3",10000,0.0363063240362562,0.623376623376623
"60006",2016-07-20 12:27:42,"VAL 3",10000,0.128939188343158,0.4
"80007",2016-07-20 13:10:58,"TRE 4",10000,0.0241529828140308,0.67948717948718
"80008",2016-07-20 13:10:58,"VAL 4",10000,0.146114979651754,0.341463414634146
"100009",2016-07-20 14:00:38,"TRE 5",10000,0.0255969046526059,0.756410256410256
"100010",2016-07-20 14:00:38,"VAL 5",10000,0.187870619104158,0.292682926829268
"120011",2016-07-20 14:52:59,"TRE 6",10000,0.027716301448125,0.769230769230769
"120012",2016-07-20 14:52:59,"VAL 6",10000,0.197484361023855,0.414634146341463
"140013",2016-07-20 15:34:11,"TRE 7",10000,0.0234344675662626,0.756410256410256
"140014",2016-07-20 15:34:11,"VAL 7",10000,0.193648351456034,0.463414634146341
"160015",2016-07-20 17:33:58,"TRE 8",10000,0.00141558352398646,0.871794871794872
"160016",2016-07-20 17:33:58,"VAL 8",10000,0.139405852732682,0.439024390243902
"180017",2016-07-20 17:53:49,"TRE 9",10000,0.103979245705405,0.531645569620253
"180018",2016-07-20 17:53:49,"VAL 9",10000,0.0839388759178773,0.357142857142857
"200019",2016-07-20 18:19:31,"TRE 10",10000,0.0838602219349423,0.602564102564103
