"","Seq","Stock","Date","Open","High","Low","Close","Volume","Adj.Close","Var","D1c","D2c","D7c","D30c","D1v","D2v","D7v","D30v","GSPC","MXX","IPSA","MERV","FTSE","GDAXI","FCHI","N225","HSI","BSESN","AXJO","NZ50","JKSE"
"129",1,"BVSP",2016-01-04,43349,43349,42125,42141,2976300,42141,-2.78668481395188,42419,41773,39950,39589,0.659690088037778,-0.873258821575188,-5.19921216867184,-6.05586008874967,-1.25306238906882,-1.97886888739134,-1.55179747669528,-1.46987628731173,-2.38533725792428,-1.92993338901537,-1.30071938403994,-1.95338653328976,-2.09111676172422,-1.8883447368039,-0.479614465341534,-1.31698497660983,-1.18436985431957
"128",2,"BVSP",2016-01-05,42139,42534,42137,42419,2557200,42419,0.664467595339234,41773,40695,39514,40822,-1.52290247294844,-4.06421650675405,-6.84834625993069,-3.76482236733539,0.145494143243388,-0.182631595416993,0.137801635602263,-0.310986787114611,0.718815336338321,-0.608968289228569,-0.785172004481949,-0.134573016414694,-0.609646996765604,-0.638420257319224,-1.63362295797362,0,0.671255375944809
"127",3,"BVSP",2016-01-06,42410,42410,41590,41773,3935900,41773,-1.50200424428201,40695,40612,38944,40592,-2.58061427237689,-2.77930720800517,-6.77231704689632,-2.82718502381921,-1.06625464981729,-0.827891136724422,-0.297043335421304,0.234367388978404,-1.03956675638475,-0.725653429439335,-1.05231090979913,-1.19089195111513,-0.765374532049384,-0.865843590990064,-1.18238957562576,0,0.993241970076876
"126",4,"BVSP",2016-01-07,41772,41772,40695,40695,4032300,40695,-2.57828210284401,40612,39950,39500,40377,-0.203956259982799,-1.83069173117091,-2.93647868288488,-0.781422779211205,-2.12711205995208,-2.46392537075349,-1.60734631639405,1.51473928882284,-1.96430016012471,-1.61984976852203,1.32256456832302,-2.05311145967725,-2.11461142691879,-1.47819063277132,-2.20179756089553,0,-0.945507934610063
"125",5,"BVSP",2016-01-08,40695,41218,40463,40612,3221600,40612,-0.203956259982799,39950,39514,38569,39318,-1.63006008076431,-2.70363439377524,-5.03053284743426,-3.18625036934896,-3.18789508600444,-0.974962781312432,-0.0348272675578799,-0.823992932932846,-0.700361017007541,-1.60961360849435,-1.59894480211655,0.772854389079945,-0.186268509282477,-0.138929976633381,-0.389198266749229,-0.889695846890624,0.473501495628651
"124",6,"BVSP",2016-01-11,40612,40974,39924,39950,3086400,39950,-1.63006008076431,39514,38944,37937,39808,-1.09136420525657,-2.51814768460576,-5.03879849812265,-0.355444305381727,-0.12719617710007,1.12382621818679,-0.333590160292223,-3.05927421568804,-0.686694027348633,0.112392785806529,-0.472391764632512,NA,-0.544669874538033,0.153021824474036,-1.17415268673553,0,-1.107718333878
"123",7,"BVSP",2016-01-12,39955,40261,39426,39514,3383700,39514,-1.1037417094231,38944,39500,38057,40093,-1.44252669939768,-0.0354304803360834,-3.68730070354811,1.46530343675659,0.562814057652286,0.748440708555839,-0.507426355538957,-3.20488757364595,0.977560405774098,1.55204072847498,1.41887445436663,-1.44221718305618,-1.58896188458232,-0.727590807962225,-0.143953949947088,0,0.556629228786224
"122",8,"BVSP",2016-01-13,39518,40050,38822,38944,3569600,38944,-1.45250265701706,39500,38569,37645,40948,1.42769104354971,-0.962921117502054,-3.33555875102712,5.14585045193098,-2.57995701151269,-0.043312271350453,0.0983521175576505,-3.36998095941781,0.53632537195853,-1.49707687979125,-0.786575889377063,1.52736488212624,-0.469215516672423,0.199433447748248,1.26494493026241,0,0.0286668367244158
"121",9,"BVSP",2016-01-14,38944,39502,38459,39500,3868600,39500,1.42769104354971,38569,37937,37717,41631,-2.35696202531646,-3.95696202531646,-4.51392405063291,5.39493670886076,1.5943452983091,0.795092964897916,0.448800899314058,3.53831760840829,-0.717997064250959,-0.433567815868408,-0.655778993182242,-0.82819126441095,1.21809698875176,0.67776206522471,-1.56394116238245,0,0.454015875646519
"120",10,"BVSP",2016-01-15,39494,39494,37986,38569,4076400,38569,-2.34212791816478,37937,38057,38031,41478,-1.63862169099536,-1.32749099017346,-1.3949026420182,7.54232673909098,-1.89651360560357,-1.21547256611719,-1.76667353174372,-6.0559797203285,-1.92795264168992,-2.38374136981283,-2.21300926979996,-2.14211670568485,-1.31785719880382,-1.71499406799634,-0.750537576849939,0.97883394990669,0.110536358695268
"119",11,"BVSP",2016-01-18,38572,38633,37937,37937,2161200,37937,-1.64627190708286,38057,37645,37497,41543,0.316313888815668,-0.769697129451459,-1.15981759232412,9.50523235891083,NA,-0.58279826951633,-0.36081011345808,-2.97186266579141,-0.416950011050615,-0.217445987992935,-0.511505035507537,0.764492550840922,-0.258882428697949,-0.870505623671277,-0.21564116445206,0,-0.223673530839968
"118",12,"BVSP",2016-01-19,37941,38857,37941,38057,3044900,38057,0.305737856145067,37645,37717,38376,43235,-1.08258664634627,-0.893396746984786,0.83821635967102,13.6059069290801,-0.388109975752256,0.486061162955446,0.0342113044739248,-1.34406607703154,1.67649794361438,-0.600965263708186,0.105201217004664,0.86426210357755,1.82663391322718,0.91750003895747,0.942916740549027,0,0.114762601894597
"117",13,"BVSP",2016-01-20,38056,38056,37046,37645,3958400,37645,-1.07998738700862,37717,38031,38630,42521,0.191260459556382,1.02536857484394,2.61654934254217,12.9525833444016,-0.898106659010452,0.0911392815762483,-0.620595101342278,-4.04703134933726,-3.45765916387209,-0.408162299751426,-1.11424569126,-3.60587065714288,-2.30661510051351,-1.08416084705527,-1.25634999834343,0,-1.09808937654118
"116",14,"BVSP",2016-01-21,37647,38079,37495,37717,3773600,37717,0.185937790527798,38031,37497,40406,42085,0.832515841662911,-0.583291354031339,7.12941114086486,11.5809847018586,0.404522748689947,0.817003827593891,0.548071963018259,3.59954839810592,1.76606925530971,1.84528708068519,1.8572705857162,-2.73033004510006,-2.81449124684156,-0.961113720951859,0.464732004544046,0,-0.756000058768578
"115",15,"BVSP",2016-01-22,37737,38444,37737,38031,4197500,38031,0.779076238174736,37497,38376,40570,41888,-1.4041176934606,0.90715468959533,6.67613262864505,10.1417264862875,1.57132202103349,1.00302931688424,1.60862453286297,4.90574188930618,2.18573901524458,0.0238675145995739,1.01158973290971,3.80620822534113,0.419565228264305,1.30005315420287,0.663442979560693,0.669472638196365,0.232147697411194
"114",16,"BVSP",2016-01-26,38031,38031,37112,37497,3607000,37497,-1.4041176934606,38376,38630,38596,41593,2.3441875350028,3.02157505933808,2.93090113875777,10.9235405499107,1.32212570241331,1.10415307405748,0.295436166682416,1.37230298732524,0.587034201123022,2.32500697946084,2.78282926437189,-0.738011657133768,-1.0909896181516,NA,NA,0,0.462724346562549
"113",17,"BVSP",2016-01-27,37501,38766,37402,38376,4648600,38376,2.33327111277033,38630,40406,39589,42794,0.661872003335418,5.2897644361059,3.16082968521993,11.5124035855743,-1.02863932017913,0.444765465010071,0.153071412389624,2.12185530480138,1.33468496997378,1.01621636523786,0.702788496132267,1.26690700812241,-0.829748713481835,-0.611692706022167,-1.20241670638021,0,1.26843509640685
