Periodo;Data;BVSP;SPX;MXX;IPSA;MERV;FTSE;GDAXI;FCHI;N225;HSI;BSESN;TUNINDEX;MASI;NSE20;AXJO;NZDOW;JKSE
1;01/04/16;1,014903904;0,785750945;0,404406719;0,257546915;1,442456573;-0,466401148;-0,392749901;-0,208703927;-3,321859982;-1,381974804;-0,1267053;0,343137978;-0,799918143;0,358856781;-1,640826045;-0,597518701;-0,004294674
2;04/04/16;-3,51293615;-0,340540819;-0,844570301;0,068143963;-3,001247175;0,30263251;0,330044001;0,789347592;0,220725356;-1,381974804;0,259216755;0,32243189;1,079720699;0,303274463;0;0,403244284;0,207200485
3;05/04/16;0,565828857;-0,840240291;-1,077815277;-0,733299087;-2,435570172;-1,192272092;-0,875320117;-0,767202355;-1,940947916;-0,663944017;-1,926695342;-0,370824558;0,173332797;0,203068479;-1,419332288;-0,524252371;0,190243344
4;06/04/16;-1,95294981;1,03149516;0,218372645;-0,923315581;-1,814530353;1,155764065;0,438820566;0,524137978;-0,078459297;0,530696129;-0,313178896;-0,334418598;0,716191398;0,332616316;0,436601422;0,247388675;0,106289947
5;07/04/16;0,860724755;-1,02277623;-0,500561841;0,11219988;-3,244889486;-0,400873079;-1,222252985;-0,997964549;0,067220938;-0,156516959;-1,253537278;0,03935873;-0,302295501;0,602729529;0,367985531;0,568259933;-0,359271196
6;08/04/16;3,660572583;0,100703822;-0,476591477;0,726174493;2,92950997;1,099903878;0,478879048;1,033552112;1,439244186;1,53926301;0,03259194;-0,236678962;-1,432444441;-1,355601104;-0,4696689;-0,482432186;0,145697847
7;11/04/16;-0,274337515;-0,401905644;-0,232521246;-0,09167597;-0,410557744;-0,069302496;0,911157535;0,431049097;-0,066239777;0,913172223;0,93894875;0,117191622;0,308249705;-1,019170711;-0,123543784;-0,210055254;-0,959599682
8;12/04/16;3,6598493;0,880746886;0,726723463;0,760475538;4,14313912;0,682243889;0,460233381;0,658023301;1,333078456;0,311724576;0,355673159;-0,392948743;0,459149051;-0,83994978;0,894253229;-0,150870937;0,859393096
9;13/04/16;2,191886176;0,798675681;0,700807986;0,030079018;4,785078716;1,930347333;1,262176413;1,889714344;1,477507597;2,022104354;1,058149833;0,153488381;0,46557788;-0,403788736;1,589759937;1,256038647;0,124342548
10;14/04/16;-1,390404516;-0,005274595;-0,017616668;-0,186962528;-0,716940503;0,03457851;0,511538382;0,541305081;1,691061795;-0,553670088;0;-0,469416601;0,294687282;-0,205142897;1,264168013;0,750477577;-1,177693361
11;15/04/16;1,553020185;-0,113778402;0,297191547;0,34291428;0,232599199;-0,334641917;-0,122411279;-0,155264001;0,763371352;-0,272190127;0;-0,515087085;0,465417481;0,47546425;0,761941975;0,189419564;-0,234400007
12;18/04/16;-0,629356178;0,746093207;-1,089646778;0,002524534;-0,209088724;0,152908277;1,87854849;1,843734117;-1,484753303;0,150595335;-0,065035717;-0,708284705;0,054714515;0,242602041;-0,395538575;0,071991001;1,100367695
13;19/04/16;1,542708058;0,226616726;1,672640799;0,614829147;4,712345319;0,816871047;1,764080493;0,992566371;1,759544574;-0,008955636;0;-0,333509555;-0,111280512;0,129023721;1,006398669;0,47267489;0,13192763
14;20/04/16;-0,148945281;0,041868837;-0,28431346;-0,140073174;0,074796244;0,076496442;1,053565282;1,002338646;-0,863682911;-1,009236836;-0,37837819;-0,865927827;-0,112397402;0,125045113;0,52420976;0,682808499;0,007019425
15;22/04/16;-1,346261421;0,00430736;0,125343371;-0,580182887;0,090344669;-1,112608536;-0,035939231;-0,200044299;2,04419227;0,088066666;-0,209904913;0,185482526;0,320479381;1,060031496;-0,688457368;-0,947551048;0,326834809
16;25/04/16;-1,982574512;-0,07562461;-0,059482351;-0,491852954;-3,8813049;-0,784419383;-0,817123406;-0,34634113;-0,989350027;-0,486352615;-0,819201147;-0,224032853;0,308091455;0,225140994;0;0,026946915;-0,844260468
17;26/04/16;2,344457941;0,08899547;-0,366579418;-0,022001381;1,852310518;0,376944183;-0,967006908;-0,522708449;-0,03042447;0,12745545;1,571498213;-0,340018431;0,589185673;-0,177369802;-0,301730278;-1,126116021;-1,069780628
18;27/04/16;2,606697555;0,134769558;0,822151569;0,677750114;0,876477249;0,563289076;0,162698696;0,538251832;-0,455906243;-0,050207296;0,414923242;0,05683694;0,759561101;-0,689806416;-0,630193893;-0,454690129;0,789822125
19;28/04/16;-0,299219826;-0,723117153;-0,896913337;1,056136425;-0,105283482;0,039557589;0,96888055;0,820969261;-4,432248901;-0,469690653;-1,822128226;-0,3889495;1,11746637;0,129484271;0,726713295;0,566003286;-0,278901623
20;29/04/16;-0,747463962;-0,31470006;0,550152352;-0,507148671;-0,110917204;-1,273250684;-1,919794648;-1,588075188;0;-0,698312735;-0,024561891;0,459106168;2,549204646;0,477670292;0,512885014;0,135734323;-0,016183999
21;02/05/16;-0,645520312;0,689832502;-0,170554123;-0,119736604;-1,302176327;0;0,318096011;-0,291976379;-1,282132719;0;-0,502509453;0,277742733;0,418562698;0;-0,175168399;-0,442397978;-0,427504693
22;03/05/16;-2,421718916;-0,664834798;-0,128272723;-0,059191629;-2,825369364;-0,901965826;-1,251227564;-1,420970011;0;-1,827149791;-1,060548685;-0,34310581;0,318014667;0,332979153;2,113290196;0,552236104;-0,139240445
23;04/05/16;0,574129715;-0,445562869;-0,657494579;0,050198422;0,409532904;-1,189861886;-0,977305358;-0,9385644;0;-0,149198171;-0,432903251;1,248061785;0,658120251;-0,817876951;-1,544691808;-0,094743966;0,289923262
24;05/05/16;-1,708231087;-0,113011425;-0,446110795;0,027404929;0,925240736;0,086711469;0,021931195;-0,043965373;0;0,422124978;0,295981372;-0,394659286;1,304144296;-0,297264713;0,151770975;0,740272637;0
25;06/05/16;0,090960113;0,457564712;0,148487067;-0,35124239;0,680989387;0,137321862;0,658418985;0,252425237;-0,653502449;-1,216164537;0,01914899;-0,167121813;-0,034642907;-0,33183755;0,196908168;0,152111668;0
26;09/05/16;-1,405727324;0,055400451;0,091372438;-0,57638919;-1,365033569;-0,177945209;0,516656462;0,002778779;-0,065075725;-0,606954875;1,44945802;0,55402986;0,480274409;-0,042878943;0,542331727;-0,040273862;-1,231273713
